species	lineage	count
Zea_mays	TAT	2675
Triticum_aestivum	TAT	2164
Cephalotus_follicularis	DEL/TEKAY	1754
Camellia_sinensis_var_sinensis	TAT	1442
Hydrangea_macrophylla	DEL/TEKAY	1173
Zea_mays	DEL/TEKAY	1151
Cephalotus_follicularis	TAT	1103
Zea_mays	SIRE	969
Sorghum_bicolor	TAT	766
Hydrangea_macrophylla	TAT	653
Rosa_lucieae	BIANCA	607
Oryza_meyeriana_var_granulata	TAT	600
Hydrangea_macrophylla	ALE/RETROFIT	523
Glycine_max	REINA	515
Gossypium_hirsutum	DEL/TEKAY	512
Dorcoceras_hygrometricum	DEL/TEKAY	496
Oryza_sativa	TAT	464
Hevea_brasiliensis	DEL/TEKAY	434
Camellia_sinensis_var_sinensis	DEL/TEKAY	429
Triticum_aestivum	DEL/TEKAY	424
Brachypodium_distachyon	TAT	408
Arachis_ipaensis	TAT	390
Zea_mays	REINA	389
Cannabis_Sativa	DEL/TEKAY	389
Nymphaea_colorata	ALE/RETROFIT	370
Aquilaria_sinensis	TAT	358
Triticum_aestivum	ANGELA	330
Solanum_lycopersicum	DEL/TEKAY	326
Brassica_napus	ALE/RETROFIT	321
Olea_europaea	TAT	319
Ipomoea_nil	ALE/RETROFIT	315
Striga_asiatica	TAT	312
Olea_europaea	TORK/TAR	312
Solanum_lycopersicum	ALE/RETROFIT	310
Glycine_max	TAT	309
Camellia_sinensis_var_sinensis	ALE/RETROFIT	308
Beta_vulgaris	TAT	296
Camellia_sinensis_var_sinensis	TORK/TAR	292
Triticum_aestivum	ALE/RETROFIT	287
Pterocarya_stenoptera	ALE/RETROFIT	287
Vitis_vinifera	ALE/RETROFIT	284
Physcomitrella_patens	ATHILA	278
Beta_vulgaris	ALE/RETROFIT	277
Malus_domestica	ALE/RETROFIT	263
Cajanus_cajan	TAT	262
Setaria_italica	TAT	259
Sorghum_bicolor	DEL/TEKAY	254
Gossypium_hirsutum	TAT	250
Medicago_truncatula	TAT	248
Fagopyrum_tataricum	DEL/TEKAY	240
Sorghum_bicolor	REINA	239
